Occupation,Career Pathway,OnetTitle,OnetDescription,Annual Wage - Pct10,Annual Wage - Pct25,Annual Wage - Median,Annual Wage - Pct75,Annual Wage - Pct90,Hourly Wage - Pct10,Hourly Wage - Pct25,Hourly Wage - Median,Hourly Wage - Pct75,Hourly Wage - Pct90,WageYear,BrightOutlook,EducationLevel_1,EducationLevel_2,EducationLevel_3,EducationLevel_4,EducationLevel_5,EducationLevel_6,EducationLevel_7,EducationCode,EducationTitle,ExperienceCode,ExperienceTitle,TrainingCode,TrainingTitle,EducationOccupationTitle
Business Intelligence Analysts,Information Support and Services,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,44810,54300,64250,98980,138330,21.55,26.11,30.89,47.59,66.51,2019,Bright,.1,1.7,6,4.2,37.5,36,14.5,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Data Scientists and Mathematical Science Occupations, All Other"
"Computer Occupations, All Other",Information Support and Services,"Computer Occupations, All Other",All computer occupations not listed separately.,31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Computer Systems Engineers/Architects,Information Support and Services,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Computer User Support Specialists,Information Support and Services,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",30040,36570,46970,61660,79350,14.44,17.58,22.58,29.64,38.15,2019,Bright,.8,9.9,25.2,15.5,37,10.7,1,6,"Some college, no degree",3,No work experience,6,No on-the-job training,Computer User Support Specialists
Data Warehousing Specialists,Information Support and Services,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",45430,63700,90230,116170,134290,21.84,30.62,43.38,55.85,64.56,2019,Bright,.5,4.5,12,8.2,46.9,25.2,2.7,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Database Administrators and Architects
Document Management Specialists,Information Support and Services,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Geographic Information Systems Technologists and Technicians,Information Support and Services,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Information Technology Project Managers,Information Support and Services,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Project Management Specialists,Information Support and Services,Project Management Specialists,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.",31390,41910,61040,86700,115420,15.09,20.15,29.35,41.68,55.49,2019,Bright,1,6.8,14.9,7.2,43.5,23.3,3.3,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Project Management Specialists and Business Operations Specialists, All Other"
Search Marketing Strategists,Information Support and Services,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",28470,39280,54790,75500,108350,13.69,18.88,26.34,36.3,52.09,2019,Bright,.5,5,10.3,4.3,53.9,23,3,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Market Research Analysts and Marketing Specialists
Software Quality Assurance Analysts and Testers,Information Support and Services; Programming and Software Development,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",56870,73270,95930,121530,148870,27.34,35.23,46.12,58.43,71.57,2019,Bright,.4,2.2,7.4,3.9,51.5,30.3,4.3,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Software Developers and Software Quality Assurance Analysts and Testers
Video Game Designers,Information Support and Services,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",33870,45750,63110,81300,105640,16.28,21.99,30.34,39.08,50.79,2019,Bright,.7,4.9,15.4,10.4,53.7,13.6,1.3,4,Associate's degree,3,No work experience,6,No on-the-job training,Web Developers and Digital Interface Designers
Web Administrators,Information Support and Services,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Web and Digital Interface Designers,Information Support and Services; Web and Digital Communications,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",33870,45750,63110,81300,105640,16.28,21.99,30.34,39.08,50.79,2019,Bright,.7,4.9,15.4,10.4,53.7,13.6,1.3,4,Associate's degree,3,No work experience,6,No on-the-job training,Web Developers and Digital Interface Designers
Computer Network Architects,Network Systems,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",63820,80760,105710,127430,154470,30.68,38.83,50.82,61.26,74.26,2019,Bright,1,7.1,20.9,16.3,39.1,14.2,1.6,3,Bachelor's degree,1,5 years or more work experience,6,No on-the-job training,Computer Network Architects
Computer Network Support Specialists,Network Systems,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",33170,43630,59720,79740,105240,15.95,20.97,28.71,38.34,50.6,2019,Bright,.8,9.9,25.2,15.5,37,10.7,1,4,Associate's degree,3,No work experience,6,No on-the-job training,Computer Network Support Specialists
Database Administrators,Network Systems,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",45430,63700,90230,116170,134290,21.84,30.62,43.38,55.85,64.56,2019,Bright,.5,4.5,12,8.2,46.9,25.2,2.7,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Database Administrators and Architects
Database Architects,Network Systems; Information Support and Services,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",45430,63700,90230,116170,134290,21.84,30.62,43.38,55.85,64.56,2019,Bright,.5,4.5,12,8.2,46.9,25.2,2.7,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Database Administrators and Architects
Information Security Analysts,Network Systems,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",49440,63100,89230,117200,144040,23.77,30.33,42.9,56.35,69.25,2019,Bright,.8,4.2,17.2,10.1,42.1,23.3,2.2,3,Bachelor's degree,2,Less than 5 years work experience,6,No on-the-job training,Information Security Analysts
Network and Computer Systems Administrators,Network Systems,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",48760,60540,77170,98220,123190,23.44,29.11,37.1,47.22,59.23,2019,Average,.6,6,23.5,16.1,41.7,10.9,1.1,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Network and Computer Systems Administrators
Telecommunications Engineering Specialists,Network Systems,Telecommunications Engineering Specialists,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",63820,80760,105710,127430,154470,30.68,38.83,50.82,61.26,74.26,2019,Bright,1,7.1,20.9,16.3,39.1,14.2,1.6,3,Bachelor's degree,1,5 years or more work experience,6,No on-the-job training,Computer Network Architects
Computer Programmers,Programming and Software Development,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",45470,58110,74920,98460,125770,21.86,27.94,36.02,47.34,60.47,2019,Below Average,.8,4.7,11.5,8.6,50.7,21.2,2.6,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Computer Programmers
Computer Systems Analysts,Programming and Software Development,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",46080,59160,79220,102890,133010,22.15,28.44,38.09,49.47,63.95,2019,Bright,.5,5.4,12.8,7.8,46.4,24,3.1,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Computer Systems Analysts
Health Informatics Specialists,Programming and Software Development,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",46080,59160,79220,102890,133010,22.15,28.44,38.09,49.47,63.95,2019,Bright,.5,5.4,12.8,7.8,46.4,24,3.1,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Computer Systems Analysts
Software Developers,Programming and Software Development,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",56870,73270,95930,121530,148870,27.34,35.23,46.12,58.43,71.57,2019,Bright,.4,2.2,7.4,3.9,51.5,30.3,4.3,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Software Developers and Software Quality Assurance Analysts and Testers
Web Developers,Web and Digital Communications,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",33870,45750,63110,81300,105640,16.28,21.99,30.34,39.08,50.79,2019,Bright,.7,4.9,15.4,10.4,53.7,13.6,1.3,4,Associate's degree,3,No work experience,6,No on-the-job training,Web Developers and Digital Interface Designers
